date,open,high,low,close,volume,Name
7/6/2015,63.63,64.13,63.231,63.71,2139871,TEL
7/7/2015,63.71,63.93,62.53,63.43,3259298,TEL
7/8/2015,62.67,63.16,61.68,61.76,2795596,TEL
7/9/2015,62.76,62.89,61.71,61.73,2066927,TEL
7/10/2015,62.68,62.84,62.07,62.41,1766571,TEL
7/13/2015,62.76,62.96,62.375,62.55,1828450,TEL
7/14/2015,62.56,63.26,62.53,63.09,2307639,TEL
7/15/2015,63.16,63.24,62.78,62.89,2051868,TEL
7/16/2015,63.28,63.58,62.55,62.79,1468752,TEL
7/17/2015,62.92,62.96,62.02,62.2,2369181,TEL
7/20/2015,62.24,62.61,61.88,62.38,1463711,TEL
7/21/2015,62.31,62.93,62.08,62.37,1823077,TEL
7/22/2015,62.09,62.68,61.45,61.7,6561516,TEL
7/23/2015,61.7,62.09,60.9,61.14,3515793,TEL
7/24/2015,61.1,61.48,60.18,60.29,3956730,TEL
7/27/2015,60.05,60.57,59.7,59.85,2390850,TEL
7/28/2015,60.23,61.065,59.81,60.67,2489359,TEL
7/29/2015,60.7,61.12,60.58,60.63,2695522,TEL
7/30/2015,60.5,60.85,60.46,60.7,4168669,TEL
7/31/2015,60.97,61.28,60.54,60.92,2318505,TEL
8/3/2015,60.86,61.16,60.52,60.96,1706072,TEL
8/4/2015,60.88,61.33,60.75,61.02,2545550,TEL
8/5/2015,61.66,62.75,61.415,62.59,2431360,TEL
8/6/2015,62.41,62.62,61.6,61.63,2005578,TEL
8/7/2015,61.5,62.05,61.35,61.91,1137726,TEL
8/10/2015,62.33,64.071,62.28,64.06,2302726,TEL
8/11/2015,63.35,63.62,62.73,62.78,2479324,TEL
8/12/2015,62.38,62.69,61.45,62.58,1772032,TEL
8/13/2015,62.54,63.09,61.815,61.85,1659053,TEL
8/14/2015,61.7,62.595,61.66,62.53,1097715,TEL
8/17/2015,62.25,62.71,61.76,62.54,1001319,TEL
8/18/2015,62.41,62.61,62.075,62.36,1441842,TEL
8/19/2015,62.12,62.9,61.62,62.38,1628040,TEL
8/20/2015,61.76,61.98,60.84,60.87,2398640,TEL
8/21/2015,60.12,60.67,58.73,58.77,2427521,TEL
8/24/2015,54.815,58.34,54.32,56.24,4498236,TEL
8/25/2015,58.03,58.03,55.49,55.53,2545194,TEL
8/26/2015,57.75,57.9,55.23,56.88,3454178,TEL
8/27/2015,57.46,58.64,57.09,58.07,2261965,TEL
8/28/2015,58.55,59.42,58.55,59.24,2820276,TEL
8/31/2015,59.01,60,58.79,59.29,2556167,TEL
9/1/2015,58.05,58.61,57.54,57.91,3042254,TEL
9/2/2015,58.68,59.04,57.98,59.04,2244348,TEL
9/3/2015,59.48,60.08,59.06,59.14,1887472,TEL
9/4/2015,58.4,58.61,57.8436,58.23,2420479,TEL
9/8/2015,58.9,60.31,58.25,60.28,1838498,TEL
9/9/2015,60.88,61.04,59.51,59.61,1702224,TEL
9/10/2015,59.36,60.66,59.28,60.23,2010711,TEL
9/11/2015,59.74,60.81,59.55,60.76,1937657,TEL
9/14/2015,60.76,60.83,60.36,60.73,2142564,TEL
9/15/2015,60.93,61.82,60.76,61.66,1645830,TEL
9/16/2015,61.57,62.82,61.34,62.76,2226432,TEL
9/17/2015,62.47,63.25,62.17,62.36,2603186,TEL
9/18/2015,61.41,61.83,61.02,61.35,3812951,TEL
9/21/2015,61.54,62.18,61.11,61.35,2087724,TEL
9/22/2015,60.3,60.52,58.72,59.14,2973259,TEL
9/23/2015,59.05,59.41,58.49,58.81,1838292,TEL
9/24/2015,58.19,58.62,57.11,58.4,2558785,TEL
9/25/2015,59.11,59.69,58.01,58.42,2460340,TEL
9/28/2015,58.2,58.335,56.77,56.85,2988884,TEL
9/29/2015,56.91,57.7,56.75,57.6,3072937,TEL
9/30/2015,58.44,59.96,58.285,59.89,2985309,TEL
10/1/2015,59.76,60.33,58.7,59.47,2557101,TEL
10/2/2015,58.75,59.99,58.57,59.99,2724346,TEL
10/5/2015,60.46,62.075,60.38,61.8,2036125,TEL
10/6/2015,61.84,62.05,61.31,61.88,2196560,TEL
10/7/2015,62.22,62.57,61.28,61.87,2357087,TEL
10/8/2015,61.86,62.18,61.41,61.9,2751775,TEL
10/9/2015,61.87,62.36,61.68,61.8,2050212,TEL
10/12/2015,61.71,62.1528,61.58,61.95,1877143,TEL
10/13/2015,61.65,62,61.48,61.56,2115955,TEL
10/14/2015,61.48,62.095,61.41,61.86,2745966,TEL
10/15/2015,62.14,63.15,61.93,63.14,1840645,TEL
10/16/2015,63.22,63.48,63.06,63.36,2428182,TEL
10/19/2015,63.01,63.4899,63.01,63.38,1554389,TEL
10/20/2015,63.21,64,63.2,63.89,1487376,TEL
10/21/2015,63.39,63.5,61.14,61.18,4411498,TEL
10/22/2015,61.72,63.76,61.33,63.4,2616755,TEL
10/23/2015,63.89,63.95,63.51,63.86,2370885,TEL
10/26/2015,63.88,64.1909,63.51,63.83,1780277,TEL
10/27/2015,63.09,63.48,62,62.44,4564451,TEL
10/28/2015,62.8,63.3,61.83,63.23,3908961,TEL
10/29/2015,63.17,64.24,62.77,64.04,2668357,TEL
10/30/2015,64.18,64.92,63.99,64.44,2615612,TEL
11/2/2015,64.44,65.71,64.44,65.57,2008208,TEL
11/3/2015,65.31,66.015,65.24,65.78,1975703,TEL
11/4/2015,65.88,66.54,65.72,66.28,1858896,TEL
11/5/2015,66.2,66.77,65.82,66.69,2105087,TEL
11/6/2015,66.46,66.99,66.08,66.55,2045728,TEL
11/9/2015,66.24,66.52,65.76,65.95,2886808,TEL
11/10/2015,65.59,66.08,64.92,65.5,2734227,TEL
11/11/2015,65.81,66.336,65.52,66.17,1990291,TEL
11/12/2015,65.73,66.235,65.03,65.04,2438651,TEL
11/13/2015,65.04,65.47,64.5,64.83,2150147,TEL
11/16/2015,64.8,65.63,64.75,65.58,2170604,TEL
11/17/2015,65.59,65.96,64.96,65.11,1995514,TEL
11/18/2015,65.44,66.84,65.07,66.71,1822200,TEL
11/19/2015,66.83,67.39,66.56,67.09,1415348,TEL
11/20/2015,67.45,67.8,67.32,67.61,1980878,TEL
11/23/2015,67.55,67.99,67.0101,67.51,1460160,TEL
